fours corea ndsev enyea rsago
ourfa thers broug htfor thont
hisco ntine ntane wnati oncon
ceive dinli berty andde dicat
edtot hepro posit ionth atall
menar ecrea tedeq ualno wwear
eenga gedin agrea tcivi lwart
estin gwhet herth atnat ionor
anyna tions oconc eived andso
dedic atedc anlon gendu rewea
remet onagr eatba ttlef ieldo
fthat warwe havec ometo dedic
ateap ortio nofth atfie ldasa
final resti ngpla cefor those
whohe regav ethei rlive sthat
thatn ation might livei tisal
toget herfi tting andpr opert
hatwe shoul ddoth isbut inala
rgers ensew ecann otded icate
wecan notco nsecr atewe canno
thall owthi sgrou ndthe brave
menli vinga nddea dwhos trugg
ledhe rehav econs ecrat editf
arabo veour poorp owert oaddo
rdetr actth eworl dwill littl
enote norlo ngrem ember whatw
esayh erebu titca nneve rforg
etwha tthey didhe reiti sforu
sthel iving rathe rtobe dedic
atedh ereto theun finis hedwo
rkwhi chthe ywhof ought hereh
aveth usfar sonob lyadv anced
itisr ather forus tobeh erede
dicat edtot hegre attas krema
ining befor eusth atfro mthes
ehono redde adwet akein creas
eddev otion totha tcaus eforw
hicht heyga vethe lastf ullme
asure ofdev otion thatw ehere
highl yreso lveth atthe sedea
dshal lnoth avedi edinv ainth
atthi snati onund ergod shall
havea newbi rthof freed omand
thatg overn mento fthep eople
bythe peopl efort hepeo plesh
allno tperi shfro mthee arth
